,column_n,column_i,column_j,column_k,solution_value
227,4,3,1,4,0.0
228,4,3,2,1,0.0
229,4,3,2,2,0.0
230,4,3,2,3,0.0
231,4,3,2,4,1.0
232,4,3,3,1,0.0
233,4,3,3,2,0.0
234,4,3,3,3,1.0
235,4,3,3,4,0.0
236,4,3,4,1,1.0
237,4,3,4,2,0.0
238,4,3,4,3,0.0
239,4,3,4,4,0.0
240,4,4,1,1,0.0
241,4,4,1,2,0.0
242,4,4,1,3,1.0
243,4,4,1,4,0.0
244,4,4,2,1,1.0
245,4,4,2,2,0.0
246,4,4,2,3,0.0
247,4,4,2,4,0.0
248,4,4,3,1,0.0
249,4,4,3,2,1.0
250,4,4,3,3,0.0
251,4,4,3,4,0.0
252,4,4,4,1,0.0
253,4,4,4,2,0.0
254,4,4,4,3,0.0
255,4,4,4,4,1.0
